reflector 2023-3
reflector-simple 2025.10-1
rofi 2.0.0-1
rog-control-center 6.1.16-0.1
rsync 3.4.1-2
rtkit 0.13-3
s-nail 14.9.25-1
scrot 1.12.1-1
sg3_utils 1.48-1
smartmontools 7.5-1
sof-firmware 2025.05.1-1
standardnotes-bin 3.198.5-2
sudo 1.9.17.p2-1
supergfxctl 5.2.7-2
sysfsutils 2.1.1-2
sysstat 12.7.8-1
systemd-sysvcompat 258.1-1
telegram-desktop-bin 6.2.4-1
texinfo 7.2-1
thunar 4.20.6-1
thunar-archive-plugin 0.6.0-1
thunar-volman 4.20.0-2
tldr 3.4.3-2
tree 2.2.1-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
tumbler 4.20.1-1
unrar 1:7.2.1-1
unzip 6.0-23
upower 1.90.10-1
usb_modeswitch 2.6.2-1
usbutils 019-1
vi 1:070224-6
vim 9.1.1841-1
visual-studio-code-bin 1.105.1-1
welcome 25.10.3-1
wget 1.25.0-2
which 2.23-1
wireplumber 0.5.12-1
wpa_supplicant 2:2.11-3
xarchiver 0.5.4.26-1
xbindkeys 1.8.7-5
xdg-user-dirs 0.19-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xed 3.8.4-1
xf86-input-libinput 1.5.0-1
xfce4-terminal 1.1.5-1
xfsprogs 6.17.0-1
xl2tpd 1.3.19-1
xorg-server 21.1.20-1
xorg-xbacklight 1.2.4-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkill 1.0.6-2
xorg-xrandr 1.5.3-1
xss-lock 0.3.0.r30.gac39fdc-1
xterm 403-1
yay 12.5.2-2
zip 3.0-11
zsh 5.9-5
